Organization Name,Post_Money_Valuation_(in B),Lead Investors Include,Country,Continent,Industry
Impossible Foods,7,Mirae Asset,United States,North America,Financial Services
Toss,7,Tonic Private Equity,South Korea,Asia,Enterprise Tech
1Password,7,ICONIQ Growth,Canada,North America,Consumer & Retail
Automation Anywhere,7,"Arctic Ventures, Mindrock Capital",United States,North America,Enterprise Tech
WeDoctor,7,"HSG, Millennium Management",China,Asia,Enterprise Tech
Klarna,7,SoftBank Vision Fund,Sweden,Europe,Enterprise Tech
Ola,7,"Arrow Capital Partners, Axis Asset Management Company",India,Asia,Financial Services
Ziroom,7,SoftBank Vision Fund,China,Asia,Financial Services
Razorpay,7,"Alkeon Capital, Lone Pine Capital",India,Asia,Financial Services
Snapdeal,7,Anand Piramal,India,Asia,Enterprise Tech
Mollie,6,Blackstone Group,The Netherlands,Europe,Industrials
CRED,6,GIC,India,Asia,Enterprise Tech
Doctolib,6,Eurazeo,France,Europe,Industrials
GTA Semiconductor,6,SAIC Venture Capital,China,Asia,Financial Services
DataRobot,6,"Altimeter Capital, Tiger Global Management",United States,North America,Financial Services
Upgrade,6,"Coatue, DST Global",United States,North America,Healthcare & Life Sciences
Hinge Health,6,"Coatue, Tiger Global Management",United States,North America,Insurance
Hello TransTech,6,"Alibaba Group, Ant Group",China,Asia,Enterprise Tech
Plaid,6,Franklin Templeton,United States,North America,Financial Services
Benchling,6,"Altimeter Capital, Franklin Templeton",United States,North America,Financial Services
Mistral AI,6,"DST Global, General Catalyst",France,Europe,Media & Entertainment
CMC,6,"Alibaba Group, Tencent",China,Asia,Industrials
Lianjia,6,Vanke,China,Asia,Enterprise Tech
Changxin New Bridge,6,China Integrated Circuit Industry Investment Fund (CICF),China,Asia,Financial Services
Nuro,6,Tiger Global Management,United States,North America,Enterprise Tech
iCapital Network,6,Bank of America,United States,North America,Enterprise Tech
Didi Woya,6,Guangzhou Automobile Group,China,Asia,Consumer & Retail
Biocon Biologics,6,Serum Life Sciences,India,Asia,Media & Entertainment
Applied Intuition,6,"Elad Gil, Lux Capital",United States,North America,Consumer & Retail
Commure,6,General Catalyst,United States,North America,Media & Entertainment
Grafana Labs,6,Lightspeed Venture Partners,United States,North America,Insurance
Animoca Brands,6,Futureverse,Hong Kong,Asia,Consumer & Retail
Monzo,6,CapitalG,United Kingdom,Europe,Consumer & Retail
Lyra Health,6,Dragoneer Investment Group,United States,North America,Healthcare & Life Sciences
SandboxAQ,6,,United States,North America,Healthcare & Life Sciences
Vice Media,6,TPG,United States,North America,Industrials
Cityblock Health,6,SoftBank,United States,North America,Enterprise Tech
Workato,6,Battery Ventures,United States,North America,Enterprise Tech
Back Market,6,Sprints,France,Europe,Enterprise Tech
RELEX Solutions,6,BP,Finland,Europe,Healthcare & Life Sciences
Postman,6,Insight Partners,United States,North America,Enterprise Tech
Fivetran,6,Andreessen Horowitz,United States,North America,Enterprise Tech
Contentsquare,6,Sixth Street,France,Europe,Enterprise Tech
SVOLT,6,Bank of China Group Investment,China,Asia,Consumer & Retail
Mambu,6,EQT,Germany,Europe,Healthcare & Life Sciences
Airwallex,6,"HSG, Square Peg Capital",Australia,Oceania,Financial Services
Vuori,6,SoftBank Vision Fund,United States,North America,Consumer & Retail
Cohere,6,"Alumni Ventures, PSP Investments",Canada,North America,Consumer & Retail
Helion Energy,5,Nucor Corporation,United States,North America,Financial Services
Vinted,5,EQT,Lithuania,Europe,Insurance
Helsing,5,General Catalyst,Germany,Europe,Enterprise Tech
Trade Republic,5,Ontario Teachers' Pension Plan,Germany,Europe,Enterprise Tech
Rappi,5,T. Rowe Price,Colombia,South America,Enterprise Tech
Sierra Space,5,"Kanematsu Corporation, MUFG Bank",United States,North America,Healthcare & Life Sciences
Quantinuum,5,JP Morgan Chase,United States,North America,Enterprise Tech
Shield AI,5,"Hanwha Aerospace, L3Harris Technologies",United States,North America,Enterprise Tech
Odoo,5,General Atlantic,Belgium,Europe,Enterprise Tech
Collibra,5,"Sequoia Capital Global Equities, Sofina",Belgium,Europe,Media & Entertainment
Redwood Materials,5,"Capricorn Investment Group, Goldman Sachs Asset Management",United States,North America,Industrials
Xiaodu,5,China Structural Reform Fund,China,Asia,Industrials
6sense,5,"Blue Owl, MSD Partners",United States,North America,Healthcare & Life Sciences
Oura,5,"Dexcom, Fidelity",Finland,Europe,Enterprise Tech
MTN Group Fintech,5,Mastercard,South Africa,Africa,Enterprise Tech
Abnormal Security,5,Wellington Management,United States,North America,Enterprise Tech
SambaNova Systems,5,SoftBank Vision Fund,United States,North America,Consumer & Retail
QuintoAndar,5,4equity - Media Ventures,Brazil,South America,Enterprise Tech
Pine Labs,5,Vitruvian Partners,India,Asia,Financial Services
United Imaging Healthcare,5,SDIC Fund Management,China,Asia,Consumer & Retail
C6 Bank,5,JP Morgan Chase,Brazil,South America,Enterprise Tech
Hopper,5,Capital One Ventures,Canada,North America,Media & Entertainment
OfBusiness,5,Cornerstone Ventures,India,Asia,Enterprise Tech
VerSe Innovation,5,"CPP Investments, Google",India,Asia,Consumer & Retail
Moon Active,5,,Israel,Asia,Consumer & Retail
Zepz,5,Accel,United Kingdom,Europe,Enterprise Tech
WeBank,5,Tencent,China,Asia,Enterprise Tech
WeWork China,5,Trustbridge Partners,China,Asia,Financial Services
Royole Corporation,5,Yingke Capital,China,Asia,Consumer & Retail
Cockroach Labs,5,Greenoaks,United States,North America,Healthcare & Life Sciences
Lenskart,5,Chrys Capital,India,Asia,Insurance
PointClickCare,5,Hellman & Friedman,Canada,North America,Healthcare & Life Sciences
ShareChat,5,Times Internet,India,Asia,Enterprise Tech
Coalition,5,Mitsui Sumitomo Insurance Company,United States,North America,Media & Entertainment
Dream Games,5,CVC Capital Partners,Turkey,Europe,Enterprise Tech
Neuralink,5,Founders Fund,United States,North America,Enterprise Tech
NinjaOne,5,"CapitalG, ICONIQ Growth",United States,North America,Enterprise Tech
Zepto,5,Motilal Oswal Wealth,India,Asia,Industrials
DataDirect Networks,5,Blackstone Group,United States,North America,Enterprise Tech
Beast Industries,5,Alpha Wave Global,United States,North America,Industrials
Whatnot,5,"avra, DST Global",United States,North America,Enterprise Tech
Sunwoda Electric Vehicle Battery,5,"GAC Group, Li Auto",China,Asia,Media & Entertainment
Mynt,5,"Bow Wave Capital Management, Insight Partners",Philippines,Asia,Healthcare & Life Sciences
Reify Health,5,"Altimeter Capital, Coatue",United States,North America,Consumer & Retail
Island,5,Coatue,United States,North America,Enterprise Tech
Creditas,5,Andbank,Brazil,South America,Enterprise Tech
Cerebral,5,SoftBank Vision Fund,United States,North America,Consumer & Retail
Chipone Technology,5,Oceanpine Capital,China,Asia,Enterprise Tech
Qonto,5,TCV,France,Europe,Financial Services
BetterUp,5,"ICONIQ Growth, Lightspeed Venture Partners",United States,North America,Enterprise Tech
Binance.US,5,,United States,North America,Consumer & Retail
Pleo,5,Coatue,Denmark,Europe,Healthcare & Life Sciences
Sonar,5,"Advent International, General Catalyst",Switzerland,Europe,Enterprise Tech
Glean,5,"Altimeter, DST Global",United States,North America,Healthcare & Life Sciences
Checkr,5,Durable Capital Partners,United States,North America,Enterprise Tech
Color,5,"Kindred Ventures, T. Rowe Price",United States,North America,Consumer & Retail
Lendable,5,Ontario Teachers' Pension Plan,United Kingdom,Europe,Enterprise Tech
wefox,5,"Deutsche Bank, UniCredit",Germany,Europe,Media & Entertainment
iFood,5,"Movile, Prosus & Naspers",Brazil,South America,Enterprise Tech
Rapyd,5,"Tal Ventures, Target Global",United Kingdom,Europe,Healthcare & Life Sciences
OneTrust,5,Generation Investment Management,United States,North America,Consumer & Retail
Socure,5,"Accel, T. Rowe Price",United States,North America,Financial Services
VIPKID,5,Tencent,China,Asia,Healthcare & Life Sciences
Sierra,5,Greenoaks,United States,North America,Enterprise Tech
Tricentis,5,GTCR,United States,North America,West Palm Beach
Verkada,5,General Catalyst,United States,North America,Industrials
Manner,5,Longzhu Capital,China,Asia,Financial Services
Hugging Face,5,Salesforce Ventures,United States,North America,Industrials
Guild,4,Wellington Management,United States,North America,Media & Entertainment
Alan,4,Belfius Bank,France,Europe,Consumer & Retail
Zhiji Auto,4,Bank of China Financial Assets Investment,China,Asia,Industrials
Ruipeng Pet Healthcare,4,Nestlé Health Science,China,Asia,Consumer & Retail
Outreach,4,"Premji Invest, Steadfast Capital Management",United States,North America,Enterprise Tech
Lightmatter,4,T. Rowe Price,United States,North America,Enterprise Tech
Entrata,4,Blackstone Group,United States,North America,Financial Services
OutSystems,4,Kohlberg Kravis Roberts,United States,North America,Consumer & Retail
Sorare,4,SoftBank,France,Europe,Industrials
Arctic Wolf,4,Owl Rock Capital,United States,North America,Consumer & Retail
Voyah,4,,Japan,Asia,Financial Services
Kakao Mobility,4,GS Retail,South Korea,Asia,Financial Services
G-P/Globalization Partners,4,Vista Credit Partners,United States,North America,Media & Entertainment
ThoughtSpot,4,March Capital,United States,North America,Industrials
dbt Labs,4,Altimeter Capital,United States,North America,Enterprise Tech
Relativity Space,4,Fidelity,United States,North America,Consumer & Retail
Armis,4,"Alkeon Capital, General Catalyst",United States,North America,Industrials
Zipline,4,"Baillie Gifford, Katalyst Ventures",United States,North America,Healthcare & Life Sciences
Hithium Energy Storage,4,"Beijing Financial Street Capital Operation Center, China Life Private Equity Investment",China,Asia,Consumer & Retail
SSENSE,4,HSG,Canada,North America,Industrials
Bitpanda,4,Valar Ventures,Austria,Europe,Healthcare & Life Sciences
Dataminr,4,"HSBC, NightDragon",United States,North America,Financial Services
AngelList,4,"Accomplice, Tiger Global Management",United States,North America,Financial Services
SumUp,4,Sixth Street,United Kingdom,Europe,Enterprise Tech
Weee!,4,SoftBank Vision Fund,United States,North America,Media & Entertainment
Wealthsimple,4,"Greylock, Meritech Capital Partners",Canada,North America,Enterprise Tech
Kraken,4,"2B Global Capital, Venture Garage",United States,North America,Consumer & Retail
Cerebras Systems,4,Alpha Wave Ventures,United States,North America,Healthcare & Life Sciences
Branch,4,New Enterprise Associates,United States,North America,Enterprise Tech
Yuga Labs,4,a16z crypto,United States,North America,Financial Services
Houzz,4,ICONIQ Growth,United States,North America,Healthcare & Life Sciences
BrowserStack,4,Bond,Ireland,Europe,Enterprise Tech
Clubhouse,4,"Andreessen Horowitz, Tiger Global Management",United States,North America,Healthcare & Life Sciences
ClickUp,4,"Andreessen Horowitz, Tiger Global Management",United States,North America,Enterprise Tech
Patreon,4,Tiger Global Management,United States,North America,Industrials
MEGVII,4,Bank of China Group Investment,China,Asia,Enterprise Tech
Aurora Solar,4,"Coatue, Energize Capital",United States,North America,Financial Services
Zapier,4,,United States,North America,Consumer & Retail
Skims,4,Wellington Management,United States,North America,Enterprise Tech
Cognition,4,8VC,United States,North America,Enterprise Tech
Webflow,4,Y Combinator Continuity Fund,United States,North America,Enterprise Tech
Tekion,4,Dragoneer Investment Group,United States,North America,Industrials
Saronic,4,Elad Gil,United States,North America,Enterprise Tech
Skydance Media,4,Kohlberg Kravis Roberts,United States,North America,Enterprise Tech
The Brandtech Group,4,Chrysalis Investments,United States,North America,Enterprise Tech
AlphaSense,4,"BDT & MSD Partners, Viking Global Investors",United States,North America,Enterprise Tech
Radiology Partners,4,Starr Investment Holdings,United States,North America,Media & Entertainment
Inflection AI,4,"Bill Gates, Eric Schmidt",United States,North America,Consumer & Retail
Aptos,4,YZi Labs,United States,North America,Financial Services
insightsoftware,4,Hg,United States,North America,Industrials
Hozon,4,"CRRC, Shenzhen Capital Group",China,Asia,Insurance
Meesho,4,"B Capital, Fidelity",India,Asia,Financial Services
Medlinker,4,Sino Biopharmaceutical,China,Asia,Consumer & Retail
Farmers Business Network,4,Fidelity,United States,North America,Industrials
Yunwang Wandian,4,Shenzhen Capital Group,China,Asia,Media & Entertainment
StockX,4,Altimeter Capital,United States,North America,Consumer & Retail
OYO,4,Redsprig Innovation Partners,India,Asia,Enterprise Tech
Qontigo,4,General Atlantic,Germany,Europe,Enterprise Tech
ENOVATE Motors,4,,China,Asia,Financial Services
Dutchie,4,D1 Capital Partners,United States,North America,Enterprise Tech
Articulate,4,General Atlantic,United States,North America,Healthcare & Life Sciences
Avride,4,,United States,North America,Enterprise Tech
Harness,4,Norwest Venture Partners,United States,North America,Consumer & Retail
Dataiku,4,Wellington Management,United States,North America,Industrials
Papaya Global,4,Insight Partners,United States,North America,Healthcare & Life Sciences
Noom,4,Silver Lake,United States,North America,Enterprise Tech
Goat Group,4,Park West Asset Management,United States,North America,Enterprise Tech
o9 Solutions,4,Beyond Net Zero,United States,North America,Enterprise Tech
Upstox,4,Tiger Global Management,India,Asia,Media & Entertainment
Relativity,4,Silver Lake,United States,North America,Consumer & Retail
WHOOP,4,SoftBank Vision Fund,United States,North America,Financial Services
SpotOn,4,Dragoneer Investment Group,United States,North America,Financial Services
Learneo,4,Wellington Management,United States,North America,Consumer & Retail
Aptean,4,Clearlake Capital Group,United States,North America,Industrials
Ottobock,4,EQT,Germany,Europe,Financial Services
Handshake,4,"Coatue, Valiant Peregrine Fund",United States,North America,Industrials
Rec Room,4,Coatue,United States,North America,Enterprise Tech
Chargebee,4,"Peak XV Partners, Tiger Global Management",United States,North America,Financial Services
Highspot,4,"B Capital, D1 Capital Partners",United States,North America,Financial Services
Mirakl,4,Silver Lake,France,Europe,Enterprise Tech
Via,4,83North,United States,North America,Enterprise Tech
ApplyBoard,4,Ontario Teachers' Pension Plan,Canada,North America,Industrials
Celestia,4,Bain Capital Crypto,Liechtenstein,Europe,Financial Services
Chainguard,4,"IVP, Kleiner Perkins",United States,North America,Industrials
Vultr,4,"AMD Ventures, LuminArx Capital Management LP",United States,North America,Financial Services
Aledade,4,Lightspeed Venture Partners,United States,North America,Industrials
Rokt,4,Tiger Global Management,United States,North America,Financial Services
Mercury,4,Sequoia Capital,United States,North America,Consumer & Retail
Cribl,4,Google Ventures,United States,North America,Enterprise Tech
GrubMarket,4,301,United States,North America,Consumer & Retail
Innovaccer,3,Mubadala Capital Ventures,United States,North America,Enterprise Tech
Unacademy,3,Temasek Holdings,India,Asia,Enterprise Tech
Baichuan Intelligence,3,"Alibaba Group, Tencent",China,Asia,Media & Entertainment
GoStudent,3,Prosus & Naspers,Austria,Europe,Media & Entertainment
MoonPay,3,"Coatue, Tiger Global Management",United States,North America,Enterprise Tech
Hive Box,3,"Asia Forge (Cayman), Trustbridge Partners",China,Asia,Industrials
HighRadius,3,"D1 Capital Partners, Tiger Global Management",United States,North America,Enterprise Tech
ReliaQuest,3,"EQT, FTV Capital",United States,North America,Enterprise Tech
Starburst,3,Alkeon Capital,United States,North America,Industrials
Youxia Motors,3,Gezhi Asset Management,China,Asia,Financial Services
Starling Bank,3,Goldman Sachs,United Kingdom,Europe,Financial Services
Zhizi Automobile,3,"Enterprise Mixed Ownership Reform Fund, SASAC",China,Asia,Industrials
Together AI,3,"Alumni Ventures, General Catalyst",United States,North America,Financial Services
Uber Freight,3,Greenbriar Equity Group,United States,North America,Consumer & Retail
Moonshot AI,3,"Alibaba Group, HSG",China,Asia,Enterprise Tech
Spring Health,3,Generation Investment Management,United States,North America,Enterprise Tech
Komodo Health,3,Coatue,United States,North America,Enterprise Tech
Carbon Health,3,CVS Health Ventures,United States,North America,Industrials
Sinovac Life Sciences,3,Sino Biopharmaceutical,China,Asia,Industrials
Tabby,3,"Blue Pool Capital, Hassana Investment Company (HIC)",United Arab Emirates,Asia,Enterprise Tech
ElevenLabs,3,"Andreessen Horowitz, ICONIQ Growth",United States,North America,Media & Entertainment
MicroPort Medbot,3,Hillhouse Investment,China,Asia,Enterprise Tech
Du Xiaoman Financial,3,TPG,China,Asia,Enterprise Tech
Zhuzhou CRRC Times Semiconductor,3,Zhuzhou CRRC Times Electric,China,Asia,Consumer & Retail
Bilt Rewards,3,Teachers’ Venture Growth,United States,North America,Consumer & Retail
Vercel,3,Accel,United States,North America,Enterprise Tech
Addepar,3,"Vitruvian Partners, WestCap",United States,North America,Industrials
Blockdaemon,3,"Sapphire Ventures, Tiger Global Management",United States,North America,Enterprise Tech
Qi An Xin,3,Everest Venture Capital,China,Asia,Industrials
Wanda E-Commerce,3,WANDA Group,China,Asia,Industrials
Aiven,3,Eurazeo,Finland,Europe,Financial Services
CARS24,3,Global Car Group,India,Asia,Industrials
Eruditus Executive Education,3,The Rise Fund,India,Asia,Financial Services
Blockstream,3,Fulgur Ventures,Canada,North America,Enterprise Tech
Thumbtack,3,Qatar Investment Authority,United States,North America,Healthcare & Life Sciences
Cedar,3,Memorial Hermann Foundation,United States,North America,Consumer & Retail
Ironclad,3,Franklin Templeton,United States,North America,Enterprise Tech
Retool,3,Sequoia Capital,United States,North America,Enterprise Tech
PsiQuantum,3,"Australian Government, Queensland Government",United States,North America,Enterprise Tech
Beta Technologies,3,Qatar Investment Authority,United States,North America,Healthcare & Life Sciences
Nuvemshop,3,"Insight Partners, Tiger Global Management",Brazil,South America,Media & Entertainment
Zetwerk,3,"ARC Investments, Oriental Biotech",India,Asia,Enterprise Tech
Amber Group,3,Fenbushi Capital,Hong Kong,Asia,Media & Entertainment
Flutterwave,3,B Capital,United States,North America,Consumer & Retail
World,3,Blockchain Capital,Germany,Europe,Financial Services
Tinder,3,Benchmark,United States,North America,Enterprise Tech
Cross River Bank,3,"Andreessen Horowitz, Eldridge Industries",United States,North America,Enterprise Tech
Bird,3,Spark Capital,The Netherlands,Europe,Enterprise Tech
Anchorage Digital,3,Kohlberg Kravis Roberts,United States,North America,Media & Entertainment
LaunchDarkly,3,Lead Edge Capital,United States,North America,Healthcare & Life Sciences
Automattic,3,"Alta Park Capital, BlackRock",United States,North America,Financial Services
Contentful,3,Tiger Global Management,Germany,Europe,Industrials
Calendly,3,OpenView,United States,North America,Industrials
Podium,3,Y Combinator Continuity Fund,United States,North America,Consumer & Retail
Lucid Software,3,ICONIQ Growth,United States,North America,Financial Services
Wildlife Studios,3,Vulcan Capital,Brazil,South America,Enterprise Tech
Inxeption,3,Schonfeld Strategic Advisors,United States,North America,Financial Services
FlixBus,3,Canyon Partners,Germany,Europe,Industrials
Paytm Mall,3,eBay,India,Asia,Enterprise Tech
Age of Learning,3,TPG,United States,North America,Industrials
ofo,3,Alibaba Group,China,Asia,Enterprise Tech
TradingView,3,Smash Capital,United Kingdom,Europe,Healthcare & Life Sciences
Seismic,3,Permira,United States,North America,Insurance
Groww,3,ICONIQ Growth,India,Asia,Enterprise Tech
ActiveCampaign,3,Tiger Global Management,United States,North America,Consumer & Retail
Didi Freight,3,"CPE, IDG Capital",China,Asia,Enterprise Tech
VANCL,3,Jun Lei,China,Asia,Healthcare & Life Sciences
Forter,3,Tiger Global Management,United States,North America,Media & Entertainment
Miaopai,3,"SINA Corporation, Weibo",China,Asia,Industrials
Outschool,3,"Bond, Tiger Global Management",United States,North America,Consumer & Retail
Lattice,3,"Dragoneer Investment Group, Elad Gil",United States,North America,Industrials
Cato Networks,3,Lightspeed Venture Partners,Israel,Asia,Industrials
KK Group,3,JD.com,China,Asia,Financial Services
Grab Financial Group,3,Hanwha Asset Management,Singapore,Asia,Financial Services
Alibaba Music,3,,China,Asia,Media & Entertainment
PingCAP,3,"GGV Capital, Sequoia Capital",United States,North America,Enterprise Tech
Harvey,3,Sequoia Capital,United States,North America,Consumer & Retail
Poolside,3,Bain Capital Ventures,United States,North America,Insurance
Phantom,3,"Paradigm, Sequoia Capital",United States,North America,Consumer & Retail
LayerZero Labs,3,"OpenSea Ventures, The Spartan Group",Canada,North America,Industrials
Sentry,3,"Accel, Bond",United States,North America,Financial Services
