Organization Name,Post_Money_Valuation_(in B),Date Joined,Country,City,Industry,Select Investors
Ro,7,7/27/20,United States,New York,Healthcare & Life Sciences,"Initialized Capital, General Catalyst, SignalFire"
ConsenSys,7,11/17/21,United States,New York,Enterprise Tech,"Third Point, Electric Capital, Coinbase Ventures"
Automation Anywhere,6.8,7/2/18,United States,San Jose,Enterprise Tech,"General Atlantic, Goldman Sachs, New Enterprise Associates"
DataRobot,6.3,7/29/19,United States,Boston,Enterprise Tech,"New Enterprise Associates, Accomplice, IA Ventures"
Upgrade,6.3,2/12/18,United States,San Francisco,Financial Services,"Union Square Ventures, Ribbit Capital, VY Capital"
Hinge Health,6.2,1/6/21,United States,San Francisco,Healthcare & Life Sciences,"Atomico, Insight Partners, Coatue Management"
Black Unicorn Factory,6.1,5/20/21,United States,Los Angeles,Enterprise Tech,Barter Ventures
Benchling,6.1,4/14/21,United States,San Francisco,Healthcare & Life Sciences,"Thrive Capital, Benchmark, MenloVentures"
Grafana Labs,6,3/25/21,United States,New York,Enterprise Tech,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Applied Intuition,6,10/22/20,United States,Sunnyvale,Industrials,"Andreessen Horowitz, Lux Capital, General Catalyst"
Commure,6,9/16/21,United States,San Francisco,Healthcare & Life Sciences,"General Catalyst, HCA Healthcare"
iCapital Network,6,7/27/21,United States,New York,Financial Services,"BlackRock, Blackstone, UBS"
6Sense,5.2,3/30/21,United States,San Francisco,Enterprise Tech,"Venrock, Battery Ventures, Insight Partners"
Attentive,6,9/23/20,United States,Hoboken,Enterprise Tech,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Workato,5.7,1/12/21,United States,Mountain View,Enterprise Tech,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Vuori,5.5,10/13/21,United States,Carlsbad,Consumer & Retail,"SoftBank Group, Norwest Venture Partners"
The Boring Company,5.7,4/20/22,United States,Pflugerville,Industrials,"VY Capital, 8VC, Craft Ventures"
Postman,5.6,6/11/20,United States,San Francisco,Enterprise Tech,"Nexus Venture Partners, CRV, Insight Partners"
FiveTran,5.6,6/30/20,United States,Oakland,Enterprise Tech,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Sierra,4.5,10/28/24,United States,San Francisco,Enterprise Tech,"Benchmark, Sequoia Capital, Thrive Capital"
OneTrust,4.5,7/11/19,United States,Atlanta,Enterprise Tech,Insight Partners
Safe Superintelligence,5,9/4/24,United States,San Francisco,Enterprise Tech,"Sequoia Capital, DST Global, Andreessen Horowitz"
Redwood Materials,5,7/28/21,United States,Carson City,Industrials,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
Abnormal Security,5.1,5/10/22,United States,San Francisco,Enterprise Tech,"Greylock Partners, Insight Partners,Menlo Ventures"
SambaNova Systems,5,4/13/21,United States,Palo Alto,Enterprise Tech,"Walden International, Google Ventures, Intel Capital"
Cockroach Labs,5,1/12/21,United States,New York,Enterprise Tech,"Google Ventures, Benchmark, FirstMark Capital"
Icertis,5,7/17/19,United States,Bellevue,Enterprise Tech,"Eight Roads Ventures, Greycroft, Ignition Partners"
Coalition,5,3/17/21,United States,San Francisco,Insurance,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Cerebral,4.8,6/10/21,United States,San Francisco,Healthcare & Life Sciences,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
Reify Health,4.8,8/10/21,United States,Boston,Healthcare & Life Sciences,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
BetterUp,4.7,2/25/21,United States,San Francisco,Enterprise Tech,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Lyra Health,5.9,8/25/20,United States,Burlingame,Healthcare & Life Sciences,"Greylock Partners, Venrock, Providence Ventures"
SandboxAQ,5.6,12/18/24,United States,Palo Alto,Enterprise Tech,"Breyer Capital, Parkway VC, TIME Ventures"
Checkr,4.6,9/19/19,United States,San Francisco,Enterprise Tech,"Y Combinator, Accel, T. Rowe Price"
Glean,4.6,5/18/22,United States,Palo Alto,Enterprise Tech,"General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners"
Skims,4,4/9/21,United States,Los Angeles,Consumer & Retail,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Color,4.6,1/4/21,United States,Burlingame,Healthcare & Life Sciences,"General Catalyst, Viking Global Investors, T. Rowe Price"
Socure,4.5,3/16/21,United States,New York,Financial Services,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Hugging Face,4.5,5/9/22,United States,New York,Enterprise Tech,"Betaworks Ventures, Addition, Lux Capital"
Outreach,4.4,4/16/19,United States,Seattle,Enterprise Tech,"Mayfield Fund, M12, Trinity Ventures"
Lightmatter,4.4,12/19/23,United States,Mountain View,Enterprise Tech,"Google Ventures, Spark Capital, Matrix Partners"
Guild Education,4.4,11/13/19,United States,Denver,Enterprise Tech,"General Atlantic, Blackstone, ICONIQ Growth"
Arctic Wolf Networks,4.3,10/22/20,United States,Eden Prairie,Enterprise Tech,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
OutSystems,4.3,6/5/18,United States,Boston,Enterprise Tech,"KKR, ES Ventures, North Bridge Growth Equity"
Zipline,4.2,5/20/19,United States,South San Francisco,Industrials,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
Relativity Space,4.2,11/23/20,United States,Inglewood,Industrials,"Playground Global, Bond, Tribe Capital"
ThoughtSpot,4.2,5/8/18,United States,Sunnyvale,Enterprise Tech,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
Globalization Partners,4.2,1/24/22,United States,Boston,Enterprise Tech,"Vista Equity Partners, Wincove, TDR Capital"
dbt Labs,4.2,6/30/21,United States,Philadelphia,Enterprise Tech,"Andreessen Horowitz, Amplify Partners, Sequoia Capital"
Dataminr,4.1,6/4/18,United States,New York,Enterprise Tech,"Venrock, Institutional Venture Partners, Goldman Sachs"
Weee!,4.1,3/16/21,United States,Fremont,Consumer & Retail,"Goodwater Capital, iFly, XVC Venture Capital"
AlphaSense,4,6/15/22,United States,New York,Enterprise Tech,"Viking Global Investors, GS Growth, BlackRock"
Skydance Media,4,2/11/20,United States,Santa Monica,Media & Entertainment,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
The Brandtech Group,4,11/19/19,United States,New York,Enterprise Tech,Undisclosed
Houzz,4,9/30/14,United States,Palo Alto,Consumer & Retail,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
Inflection AI,4,5/13/22,United States,Palo Alto,Enterprise Tech,"Gates Frontier, Greylock Partners, Horizons Ventures"
Impossible Foods,4,5/13/19,United States,Redwood City,Consumer & Retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
Radiology Partners,4,2/26/18,United States,El Segundo,Healthcare & Life Sciences,"New Enterprise Associates, Starr Investment Holdings"
Next Insurance,4,10/7/19,United States,Palo Alto,Insurance,"Zeev Ventures, Ribbit Capital, TLV Partners"
Zapier,4,1/14/21,United States,Sunnyvale,Enterprise Tech,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
Clubhouse,4,1/24/21,United States,San Francisco,Media & Entertainment,"Andreessen Horowitz, TQ Ventures"
ClickUp,4,12/15/20,United States,San Diego,Enterprise Tech,"Georgian Partners, Craft Ventures"
Cerebras Systems,4,11/14/18,United States,Los Altos,Enterprise Tech,"Benchmark, Foundation Capital, Sequoia Capital"
Farmers Business Network,4,8/3/20,United States,San Carlos,Industrials,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Branch,4,9/10/18,United States,Redwood City,Enterprise Tech,"New Enterprise Associates, Pear, Cowboy Ventures"
Aurora Solar,4,5/24/21,United States,San Francisco,Industrials,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital"
Webflow,4,1/13/21,United States,San Francisco,Enterprise Tech,"Accel, Silversmith Capital Partners, capitalG"
Yuga Labs,4,3/22/22,United States,Miami,Media & Entertainment,"Andreessen Horowitz, Thrive Capital, Sound Ventures"
StockX,3.8,6/26/19,United States,Detroit,Consumer & Retail,"Google Ventures, Battery Ventures, DST Global"
Articulate,3.8,7/1/21,United States,New York,Enterprise Tech,"Blackstone, ICONIQ Growth, General Atlantic"
Dutchie,3.8,3/16/21,United States,Bend,Consumer & Retail,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
Cohesity,3.7,6/11/18,United States,San Jose,Enterprise Tech,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Abba Platforms,3.7,10/10/24,United States,New York,Financial Services,Run4 Capital
Dataiku,3.7,12/4/19,United States,New York,Enterprise Tech,"Alven Capital, FirstMark Capital, capitalG"
GOAT,3.7,9/23/20,United States,Culver City,Consumer & Retail,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,3.7,5/24/21,United States,New York,Healthcare & Life Sciences,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,3.7,3/4/21,United States,New York,Enterprise Tech,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Harness,3.7,1/14/21,United States,San Francisco,Enterprise Tech,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
Whatnot,3.7,9/16/21,United States,Marina del Rey,Consumer & Retail,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
o9 Solutions,3.7,4/28/20,United States,Dallas,Enterprise Tech,KKR
Autograph,3.7,1/20/22,United States,Santa Monica,Media & Entertainment,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz
Relativity,3.6,3/18/21,United States,Chicago,Enterprise Tech,"Silver Lake, ICONIQ Capital"
Whoop,3.6,10/28/20,United States,Boston,Healthcare & Life Sciences,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Course Hero,3.6,2/12/20,United States,Redwood City,Consumer & Retail,"NewView Capital, Maveron, Ridge Ventures"
SpotOn,3.6,5/26/21,United States,San Francisco,Financial Services,"Dragoneer Investment Group, DST Global, Franklin Templeton"
Cribl,3.5,8/25/21,United States,San Francisco,Enterprise Tech,"Institutional Venture Partners, CRV, Sequoia Capital"
Vultr,3.5,12/18/24,United States,San Francisco,West Palm Beach,AMD Ventures
Indigo Ag,3.5,9/26/17,United States,Boston,Industrials,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Rec Room,3.5,3/23/21,United States,Seattle,Media & Entertainment,"First Round Capital, Sequoia Capital, Index Ventures"
Tekion,4,10/21/20,United States,San Ramon,Industrials,"Airbus Ventures, Index Ventures, Advent International"
Highspot,3.5,2/22/21,United States,Seattle,Enterprise Tech,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
Handshake,3.5,5/12/21,United States,San Francisco,Enterprise Tech,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
ChargeBee Technologies,3.5,4/20/21,United States,San Francisco,Financial Services,"Insight Partners, Tiger Global Management, Accel"
Flock Safety,3.5,7/13/21,United States,Atlanta,Consumer & Retail,"Matrix Partners, Initialized Capital, Tiger Global Management"
Helion Energy,3.5,11/5/21,United States,Redmond,Industrials,"Mithril Capital Management, Y Combinator, Capricorn Investment Group"
MoonPay,3.4,11/22/21,United States,Miami,Financial Services,"New Enterprise Associates, Coatue Management, Tiger Global Management"
Starburst,3.4,1/6/21,United States,Boston,Enterprise Tech,"Index Ventures, Coatue Management, Andreessen Horowitz"
Sila,3.3,4/16/19,United States,Alameda,Industrials,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Komodo Health,3.3,5/22/20,United States,San Francisco,Healthcare & Life Sciences,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
Spring Health,3.3,9/16/21,United States,New York,Healthcare & Life Sciences,"Rethink Impact, Work-Bench, RRE Ventures"
BlockDaemon,3.3,9/21/21,United States,Los Angeles,Financial Services,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
Bilt Rewards,3.3,10/25/22,United States,New York,Financial Services,"Camber Creek, Kairos HQ, Fifth Wall Ventures"
Vercel,3.3,6/23/21,United States,San Francisco,Enterprise Tech,"CRV, Accel, Google Ventures"
Thumbtack,3.2,9/29/15,United States,San Francisco,Consumer & Retail,"Tiger Global, Sequoia Capital, Google Capital"
Cedar,3.2,3/9/21,United States,New York,Healthcare & Life Sciences,"Thrive Capital, Founders Fund, Cocnord Health Partners"
Innovaccer,3.2,2/19/21,United States,San Francisco,Healthcare & Life Sciences,"M12, WestBridge Capital, Lightspeed Venture Partners"
Ironclad,3.2,1/18/22,United States,Sacramento,Enterprise Tech,"Accel, Sequoia Capital, Y Combinator"
Eikon Therapeutics,3.2,1/6/22,United States,Hayward,Healthcare & Life Sciences,"The Column Group, Foresite Capital, Foresite Capital"
Retool,3.2,12/22/21,United States,San Francisco,Enterprise Tech,Sequoia Capital
Verkada,3.2,1/29/20,United States,San Mateo,Industrials,"next47, First Round Capital, Sequoia Capital"
PsiQuantum,3.2,7/27/21,United States,Palo Alto,Enterprise Tech,"Playground Global, M12, BlackRock"
HighRadius,3.1,1/7/20,United States,Houston,Financial Services,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
LayerZero Labs,3,3/30/22,United States,New York,Enterprise Tech,"Andreessen Horowitz, FTX Ventures, Tiger Global Management"
Cyera,3,4/9/24,United States,New York,Enterprise Tech,"Accel, CyberStarts, Sequoia Capital"
Crusoe,3,4/21/22,United States,Denver,Industrials,"Bain Capital Ventures, Founders Fund, Winklevoss Capital"
Island,3,3/23/22,United States,Dallas,Enterprise Tech,"Insight Partners, Sequoia Capital, Stripes Group"
Monad Labs,3,4/9/24,United States,New York,Financial Services,"HTX Ventures, Electric Capital, Coinbase Ventures"
Circle,3,5/15/18,United States,Boston,Financial Services,"General Catalyst, Digital Currency Group, Accel"
Forter,3,11/19/20,United States,New York,Enterprise Tech,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Calendly,3,1/26/21,United States,Atlanta,Enterprise Tech,"ICONIQ Capital, OpenView Venture Partners"
BlockFi,3,3/11/21,United States,Jersey City,Financial Services,"ConsenSys Ventures, Valar Ventures, PUC"
ActiveCampaign,3,4/21/21,United States,Chicago,Enterprise Tech,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
Lucid Software,3,6/29/21,United States,South Jordan,Enterprise Tech,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Age of Learning,3,5/3/16,United States,Glendale,Consumer & Retail,Iconiq Capital
Carbon Health,3,7/21/21,United States,San Francisco,Healthcare & Life Sciences,"Brookfield Asset Management, Blackstone, Data Collective"
LaunchDarkly,3,8/10/21,United States,Oakland,Enterprise Tech,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
Seismic,3,12/18/18,United States,San Diego,Enterprise Tech,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Outschool,3,4/14/21,United States,San Francisco,Consumer & Retail,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
TradingView,3,10/14/21,United States,Westerville,Financial Services,"Tiger Global Management, Insight Partners, Jump Capital"
Podium,3,4/7/20,United States,Lehi,Consumer & Retail,"Accel, Summit Partners, Google Ventures"
Via,3.5,3/30/20,United States,New York,Industrials,"83North, RiverPark Ventures, Pitango Venture Capital"
Anchorage Digital,3,12/15/21,United States,San Francisco,Financial Services,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
Inxeption,3,1/13/22,United States,San Francisco,Industrials,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
Lattice,3,3/23/21,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Thrive Capital, Y Combinator"
Flutterwave,3,3/9/21,United States,San Francisco,Financial Services,"Green Visor Capital, CRE Venture Capital, Greycroft"
Cross River Bank,3,2/11/22,United States,Fort Lee,Financial Services,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
Remote,3,7/13/21,United States,San Francisco,Enterprise Tech,"Index Ventures, Sequoia Capital, General Catalyst"
Sentry,3,2/18/21,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Accel, Bond"
Kraken,2.9,6/25/19,United States,San Francisco,Financial Services,"Bnk To The Future, Trammell Ventures, SBI Investment"
Workrise,2.9,9/30/19,United States,Austin,Industrials,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
DriveWealth,2.9,8/20/21,United States,Chatham,Financial Services,"Point72 Ventures, Route 66 Ventures, Accel"
Physical Intelligence,2.8,11/4/24,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Sequoia Capital, Lux Capital"
Nutrabolt,2.8,12/8/22,United States,Austin,Consumer & Retail,MidOcean Partners
Illumio,2.8,4/14/15,United States,Sunnyvale,Enterprise Tech,"Data Collective, Formation 8, General Catalyst Partners"
MasterClass,2.8,5/13/21,United States,San Francisco,Media & Entertainment,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
Tradeshift,2.7,5/30/18,United States,San Francisco,Enterprise Tech,"Notion Capital, Scentan Ventures, Kite Ventures"
Nextiva,2.7,9/14/21,United States,Scottsdale,Enterprise Tech,Goldman Sachs Asset Management
Figure,2.7,2/23/24,United States,Sunnyvale,Industrials,"Intel Capital, Parkway VC, Amazon Industrial Innovation Fund"
Sourcegraph,2.6,7/13/21,United States,San Francisco,Enterprise Tech,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
Pendo,2.6,10/17/19,United States,Raleigh,Enterprise Tech,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Cursor,2.6,12/20/24,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Thrive Capital, OpenAI Startup Fund"
Plume,2.6,2/23/21,United States,Palo Alto,Industrials,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
Axonius,2.6,3/1/21,United States,New York,Enterprise Tech,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
JumpCloud,2.6,9/13/21,United States,Louisville,Enterprise Tech,"Foundry Group, General Atlantic, BlackRock"
JUST Egg,2.6,11/30/17,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Horizons Ventures, Founders Fund"
Groq,2.5,4/14/21,United States,Mountain View,Enterprise Tech,"TDK Ventures, Social Capital, D1 Capital Partners"
Jetti Resources,2.5,10/24/22,United States,Boulder,Industrials,"BMW i Ventures, BHP Ventures"
Claroty,2.5,6/17/21,United States,New York,Enterprise Tech,"Bessemer Venture Partners, MoreVC, Team8"
Side,2.5,3/22/21,United States,San Francisco,Financial Services,"Coatue Managemeny, Trinity Ventures, Matrix Partners"
Varo Bank,2.5,9/9/21,United States,San Francisco,Financial Services,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
Sword Health,3,11/22/21,United States,New York,Healthcare & Life Sciences,"Khosla Ventures, Green Innovations, Founders Fund"
Aura,2.5,6/9/21,United States,Burlington,Consumer & Retail,"Warburg Pincus, General Catalyst"
Sysdig,2.5,4/28/21,United States,San Francisco,Enterprise Tech,"Accel, Bain Capital Ventures, Insight Partners"
Uniphore,2.5,2/16/22,United States,Palo Alto,Enterprise Tech,"Chiratae Ventures, March Capital Partners, National Grid Partners"
Somatus,2.5,2/23/22,United States,McLean,Healthcare & Life Sciences,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
SiFive,2.5,3/16/22,United States,San Mateo,Enterprise Tech,"Sutter Hill Ventures, Osage University Partners, Spark Capital"
Fetch,2.5,3/31/21,United States,Madison,Consumer & Retail,"Greycroft, Loeb.NYC, DST Global"
Vanta,2.5,6/7/22,United States,San Francisco,Enterprise Tech,"Craft Ventures, Sequoia Capital, Verissimo Ventures"
insitro,2.4,3/15/21,United States,South San Francisco,Healthcare & Life Sciences,"Foresite Capital, ARCH Venture Partners, Third Rock Ventures"
Carbon,2.4,8/20/15,United States,Redwood City,Industrials,"Google Ventures, Sequoia Capital, Wakefield Group"
Rokt,2.4,12/16/21,United States,New York,Consumer & Retail,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
Paxos,2.4,4/29/21,United States,New York,Financial Services,"Liberty City Ventures, RRE Ventures, Mithril Capital Management"
BitSight Technologies,2.4,9/13/21,United States,Boston,Enterprise Tech,"Menlo Ventures, GGV Capital, Flybridge Capital Partners"
Trumid,2.4,7/15/20,United States,New York,Financial Services,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
ABL Space Systems,2.4,3/25/21,United States,El Segundo,Industrials,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
HoneyBook,2.4,5/4/21,United States,San Francisco,Enterprise Tech,"Norwest Venture Partners, Hillsven Capital, Aleph"
Beta Technologies,2.4,4/19/22,United States,South Burlington,Industrials,"The Rise Fund, Fidelity Investments. RedBird Capital Partners"
Project44,2.6,6/1/21,United States,Chicago,Enterprise Tech,"Emergence Capital Partners, 8VC, Chicago Ventures"
Freenome,2.6,8/26/20,United States,South San Francisco,Healthcare & Life Sciences,"Andreessen Horowitz, Data Collective, Roche Venture Fund"
Transcarent,2.2,1/11/22,United States,San Francisco,Healthcare & Life Sciences,"Alta Partners, General Catalyst, Jove Equity Partners"
Shield AI,2.8,8/24/21,United States,San Diego,Industrials,"Andreessen Horowitz, Homebrew, Point72 Ventures"
Uptake,2.3,10/27/15,United States,Chicago,Industrials,"Revolution, New Enterprise Associates, Caterpillar"
Motive,2.9,4/23/19,United States,San Francisco,Industrials,"Google Ventures, Index Ventures, Scale Venture Partners"
Greenlight,2.3,9/24/20,United States,Atlanta,Financial Services,"Relay Ventures, TTV Capital, Canapi Ventures"
Story Protocol,2.3,8/21/24,United States,Bellevue,Media & Entertainment,"A16z Crypto, Andreessen Horowitz, Two Small Fish Ventures"
Algolia,2.3,7/28/21,United States,San Francisco,Enterprise Tech,"Accel, Alven Capital, Storm Ventures"
